;start;end;n;arima;mean;p;d;q;bp;bd;bq;m7;q;q-m2;mean;;mse;;nout;kurtosis;;;skewness;;;lb2;;;seas-sa-qs;;seas-sa-qs;seas-sa-f;;seas-i-qs;;seas-i-qs;seas-i-f;;td-sa-last;;td-i-last;;lb;;;dh;;;doornikhansen;;
RF1101;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,295451417;0,798540505;0,755863542;;;;;3;2,918681;0,8493;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,365703;0,0875;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;25,551917;0,2714;Chi2 with 22.0 degrees of freedom ;0;1;0;0,476393;0,9151;0;1;0;0,363228;0,9678;0,969039;0,4487;1,070445;0,3833;30,269795;0,1121;Chi2 with 22.0 degrees of freedom ;;;;3,477616;0,1757;Chi2 with 2.0 degrees of freedom 
RF1102;2012-01-01;2023-12-01;144;;;2;0;0;0;1;1;0,183415724;0,507180657;0,573406718;;;;;6;3,220633;0,6049;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,104654;0,6235;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;11,581747;0,9502;Chi2 with 21.0 degrees of freedom ;0;1;0;0,327415;0,9785;0;1;0;0,238026;0,9943;1,313163;0,2554;1,512425;0,1786;21,20479;0,4465;Chi2 with 21.0 degrees of freedom ;;;;1,194439;0,5503;Chi2 with 2.0 degrees of freedom 
RF1105;2012-01-01;2023-12-01;144;;;0;1;1;1;1;1;0,161019597;0,762780578;0,834949217;;;;;4;3,002333;0,9957;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,333051;0,1197;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;11,840474;0,9438;Chi2 with 21.0 degrees of freedom ;0;1;0;0,233436;0,9948;0;1;0;0,346668;0,9731;0,670686;0,6735;0,779182;0,5876;7,030343;0,9981;Chi2 with 21.0 degrees of freedom ;;;;2,623939;0,2693;Chi2 with 2.0 degrees of freedom 
RF1106;2012-01-01;2023-12-01;144;;;1;0;1;0;1;1;0,425837437;1,399306057;1,176424622;;;;;6;3,492029;0,2485;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,139538;0,5128;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;23,755772;0,305;Chi2 with 21.0 degrees of freedom ;0;1;0;0,339424;0,9752;0;1;0;0,338093;0,9756;1,14396;0,3403;1,232594;0,2934;13,793204;0,8783;Chi2 with 21.0 degrees of freedom ;;;;2,873986;0,2376;Chi2 with 2.0 degrees of freedom 
RF1107;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,170565048;0,595537632;0,645610385;;;;;10;3,510742;0,231;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;0,045644;0,8305;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;20,594341;0,5459;Chi2 with 22.0 degrees of freedom ;0;1;0;0,983869;0,4644;0;1;0;0,953225;0,4923;0,136554;0,9913;0,096637;0,9966;23,705813;0,3628;Chi2 with 22.0 degrees of freedom ;;;;2,943997;0,2295;Chi2 with 2.0 degrees of freedom 
RF1200;2012-01-01;2023-12-01;144;;;2;0;1;0;1;1;2,031344085;2,028224559;1,892914054;;;;;29;4,342006;0,0016;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,244938;0,2506;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;130,409561;0;Chi2 with 20.0 degrees of freedom ;2,264172;0,3224;2,264172;0,47476;0,916;0;1;0;0,469818;0,9189;0,317342;0,927;0,310309;0,9307;58,424085;0;Chi2 with 20.0 degrees of freedom ;;;;10,861204;0,0044;Chi2 with 2.0 degrees of freedom 
RF1310;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,330255664;0,547026154;0,569040647;;;;;5;3,70599;0,0991;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,138768;0,5167;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;18,44724;0,6792;Chi2 with 22.0 degrees of freedom ;0;1;0;0,314881;0,9816;0;1;0;0,32423;0,9793;0,501692;0,8062;0,638125;0,6995;33,703039;0,0526;Chi2 with 22.0 degrees of freedom ;;;;4,552413;0,1027;Chi2 with 2.0 degrees of freedom 
RF1320;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,130222951;0,497580134;0,540965138;;;;;4;2,916443;0,8452;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,17606;0,4107;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;28,724815;0,1529;Chi2 with 22.0 degrees of freedom ;0;1;0;0,602715;0,8238;0;1;0;0,516302;0,8896;0,257015;0,9557;0,240243;0,9624;27,108665;0,2071;Chi2 with 22.0 degrees of freedom ;;;;0,73985;0,6908;Chi2 with 2.0 degrees of freedom 
RF1330;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,12784419;0,259029333;0,283114887;;;;;3;3,572831;0,1808;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,346783;0,1052;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;37,884816;0,0189;Chi2 with 22.0 degrees of freedom ;0;1;0;0,13155;0,9996;0,028187;0,986;0,028187;0,255391;0,9923;0,150972;0,9886;0,164658;0,9857;27,193685;0,204;Chi2 with 22.0 degrees of freedom ;;;;4,001828;0,1352;Chi2 with 2.0 degrees of freedom 
RF1391;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,272553062;0,781008846;0,802654504;;;;;3;4,795547;0;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,602504;0,0049;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;11,673888;0,9638;Chi2 with 22.0 degrees of freedom ;0;1;0;0,576656;0,845;0;1;0;0,664453;0,7697;1,742559;0,1157;1,770204;0,1097;22,383605;0,4372;Chi2 with 22.0 degrees of freedom ;;;;12,86939;0,0016;Chi2 with 2.0 degrees of freedom 
RF1392;2012-01-01;2023-12-01;144;;;0;0;1;0;1;1;0,720960589;1,327438892;1,260141117;;;;;11;4,037822;0,0149;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;0,22013;0,3018;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;45,94701;0,002;Chi2 with 22.0 degrees of freedom ;0,918742;0,6317;0,918742;0,184267;0,9982;0,986386;0,6107;0,986386;0,193104;0,9978;0,59899;0,7307;0,761934;0,6011;28,113469;0,172;Chi2 with 22.0 degrees of freedom ;;;;7,625416;0,0221;Chi2 with 2.0 degrees of freedom 
RF1393;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,319483191;0,809162866;0,807571542;;;;;8;3,149663;0,7266;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,1797;0,4011;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;21,386564;0,497;Chi2 with 22.0 degrees of freedom ;0;1;0;0,43724;0,9366;0;1;0;0,392655;0,9569;0,79416;0,576;0,793946;0,5762;22,181096;0,4491;Chi2 with 22.0 degrees of freedom ;;;;1,190367;0,5515;Chi2 with 2.0 degrees of freedom 
RF1395;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,263308576;0,465877139;0,483502943;;;;;4;2,66988;0,4406;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,124011;0,5623;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;31,588147;0,0847;Chi2 with 22.0 degrees of freedom ;0;1;0;0,375707;0,9634;0;1;0;0,251488;0,9928;0,422051;0,8633;0,430645;0,8575;13,873506;0,9059;Chi2 with 22.0 degrees of freedom ;;;;0,663128;0,7178;Chi2 with 2.0 degrees of freedom 
RF1396;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,144185284;0,525062656;0,554557114;;;;;8;2,729852;0,5279;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,176383;0,4098;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;29,617289;0,1281;Chi2 with 22.0 degrees of freedom ;0;1;0;0,60999;0,8177;0;1;0;0,556202;0,8609;2,730698;0,0155;3,055105;0,0078;22,5016;0,4303;Chi2 with 22.0 degrees of freedom ;;;;0,969352;0,6159;Chi2 with 2.0 degrees of freedom 
RF1399;2012-01-01;2023-12-01;144;;;0;1;1;0;1;0;0,202105249;0,421109192;0,457164668;;;;;13;7,440835;0;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,93452;0;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;7,418537;0,9991;Chi2 with 23.0 degrees of freedom ;2,864;0,2388;2,864;0,368019;0,9662;8,418614;0,0149;8,418614;0,865436;0,5758;1,466835;0,1941;1,613917;0,1478;23,317372;0,4424;Chi2 with 23.0 degrees of freedom ;;;;33,667797;0;Chi2 with 2.0 degrees of freedom 
RF1412;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,668020155;1,139748413;0,931752202;;;;;6;5,452187;0;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,202909;0,3431;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;38,188403;0,0174;Chi2 with 22.0 degrees of freedom ;0,102891;0,9499;0,102891;0,229386;0,9952;0,106186;0,9483;0,106186;0,330996;0,9776;0,799465;0,5719;0,914682;0,4865;25,945827;0,254;Chi2 with 22.0 degrees of freedom ;;;;26,549508;0;Chi2 with 2.0 degrees of freedom 
