;start;end;n;arima;mean;p;d;q;bp;bd;bq;m7;q;q-m2;mean;;mse;;nout;kurtosis;;;skewness;;;lb2;;;seas-sa-qs;;seas-sa-qs;seas-sa-f;;seas-i-qs;;seas-i-qs;seas-i-f;;td-sa-last;;td-i-last;;lb;;;dh;;;doornikhansen;;
RF1102;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,177885999;0,487879433;0,550983289;;;;;6;3,039456;0,9266;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,174395;0,4151;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;18,431524;0,6801;Chi2 with 22.0 degrees of freedom ;0;1;0;0,349601;0,9722;0;1;0;0,249187;0,9931;1,428878;0,2079;1,600618;0,1516;24,112315;0,3414;Chi2 with 22.0 degrees of freedom ;;;;0,86802;0,6479;Chi2 with 2.0 degrees of freedom 
RF1105;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,160345493;0,74567226;0,819667745;;;;;4;2,91228;0,8376;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,383424;0,0732;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;10,70385;0,9787;Chi2 with 22.0 degrees of freedom ;0;1;0;0,296404;0,9856;0;1;0;0,428567;0,9409;0,914342;0,4867;1,030672;0,4082;15,425237;0,8434;Chi2 with 22.0 degrees of freedom ;;;;3,91907;0,1409;Chi2 with 2.0 degrees of freedom 
RF1106;2012-01-01;2023-12-01;144;;;1;0;1;0;1;1;0,425837438;1,39930606;1,176424626;;;;;6;3,492029;0,2485;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,139538;0,5128;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;23,75577;0,305;Chi2 with 21.0 degrees of freedom ;0;1;0;0,339424;0,9752;0;1;0;0,338093;0,9756;1,14396;0,3403;1,232594;0,2934;13,793204;0,8783;Chi2 with 21.0 degrees of freedom ;;;;2,873985;0,2376;Chi2 with 2.0 degrees of freedom 
RF1107;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,170565048;0,595537632;0,645610385;;;;;10;3,510742;0,231;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;0,045644;0,8305;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;20,594341;0,5459;Chi2 with 22.0 degrees of freedom ;0;1;0;0,983869;0,4644;0;1;0;0,953225;0,4923;0,136554;0,9913;0,096637;0,9966;23,705813;0,3628;Chi2 with 22.0 degrees of freedom ;;;;2,943997;0,2295;Chi2 with 2.0 degrees of freedom 
RF1200;2012-01-01;2023-12-01;144;;;3;0;0;0;1;1;2,556296258;2,132724832;2,025533519;;;;;27;7,125349;0;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,65793;0,002;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;133,921291;0;Chi2 with 20.0 degrees of freedom ;0,635411;0,7278;0,635411;1,201818;0,2921;1,598084;0,4498;1,598084;0,70885;0,7283;1,223928;0,2978;1,126939;0,35;59,153996;0;Chi2 with 20.0 degrees of freedom ;;;;41,197829;0;Chi2 with 2.0 degrees of freedom 
RF1310;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,27777712;0,482369741;0,496890495;;;;;9;3,642318;0,1334;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,03474;0,871;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;21,250474;0,5053;Chi2 with 22.0 degrees of freedom ;0;1;0;0,260847;0,9916;0;1;0;0,556429;0,8607;0,605917;0,7252;0,667362;0,6761;32,102602;0,0757;Chi2 with 22.0 degrees of freedom ;;;;4,006342;0,1349;Chi2 with 2.0 degrees of freedom 
RF1320;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,130222951;0,497580134;0,540965138;;;;;4;2,916443;0,8452;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,17606;0,4107;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;28,724815;0,1529;Chi2 with 22.0 degrees of freedom ;0;1;0;0,602715;0,8238;0;1;0;0,516302;0,8896;0,257015;0,9557;0,240243;0,9624;27,108665;0,2071;Chi2 with 22.0 degrees of freedom ;;;;0,73985;0,6908;Chi2 with 2.0 degrees of freedom 
RF1330;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,069138267;0,2494525;0,278818658;;;;;10;3,55481;0,1949;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,22134;0,301;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;16,076963;0,812;Chi2 with 22.0 degrees of freedom ;0,080509;0,9605;0,080509;0,437788;0,9364;0,122352;0,9407;0,122352;0,523697;0,8845;0,471418;0,8286;0,428525;0,8589;19,636036;0,6058;Chi2 with 22.0 degrees of freedom ;;;;3,436355;0,1794;Chi2 with 2.0 degrees of freedom 
RF1391;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,272553062;0,781008846;0,802654504;;;;;3;4,795547;0;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,602504;0,0049;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;11,673888;0,9638;Chi2 with 22.0 degrees of freedom ;0;1;0;0,576656;0,845;0;1;0;0,664453;0,7697;1,742559;0,1157;1,770204;0,1097;22,383605;0,4372;Chi2 with 22.0 degrees of freedom ;;;;12,86939;0,0016;Chi2 with 2.0 degrees of freedom 
RF1392;2012-01-01;2023-12-01;144;;;0;0;1;0;1;1;0,720960589;1,327438892;1,260141117;;;;;11;4,037822;0,0149;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;0,22013;0,3018;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;45,947011;0,002;Chi2 with 22.0 degrees of freedom ;0,918742;0,6317;0,918742;0,184267;0,9982;0,986386;0,6107;0,986386;0,193104;0,9978;0,59899;0,7307;0,761934;0,6011;28,113469;0,172;Chi2 with 22.0 degrees of freedom ;;;;7,625416;0,0221;Chi2 with 2.0 degrees of freedom 
